trip_id,duration,start_station,end_station
OCESN9406F1986987:2023-08-29T11:49:37Z,409.0,Bordeaux Saint-Jean,Freiburg (Breisgau) Hbf
OCESN9500F2406465:2023-10-11T00:54:01Z,211.0,Stuttgart Hbf,Paris Gare du Nord
OCESN9503F2439740:2023-10-05T00:43:30Z,161.0,Paris Gare du Nord,Karlsruhe Hbf
OCESN9503F2643469:2023-10-05T00:43:30Z,201.0,Paris Gare du Nord,Stuttgart Hbf
OCESN9506F2606807:2023-10-11T00:54:01Z,353.0,Munich,Paris Gare du Nord
OCESN9511F2569012:2023-10-11T00:54:01Z,251.0,Paris Gare du Nord,Francfort sur le Main
OCESN9514F2439737:2023-10-13T00:46:55Z,243.0,Francfort sur le Main,Paris Gare du Nord
OCESN9519F2606806:2023-10-11T00:54:01Z,346.0,Paris Gare du Nord,Munich
OCESN9524F2643468:2023-10-05T00:43:30Z,186.0,Karlsruhe Hbf,Paris Gare du Nord
OCESN9528F2563787:2023-10-11T00:54:01Z,229.0,Francfort sur le Main,Paris Est
OCESN9551F2177273:2023-08-29T11:49:37Z,244.0,Paris Est,Francfort sur le Main
OCESN9570F2413447:2023-10-11T00:54:01Z,168.0,Karlsruhe Hbf,Paris Est
OCESN9570F2423383:2023-10-11T00:54:01Z,194.0,Stuttgart Hbf,Paris Est
OCESN9571F2651369:2023-10-13T00:46:55Z,154.0,Paris Est,Karlsruhe Hbf
OCESN9571F2651374:2023-09-30T00:27:01Z,193.0,Paris Est,Stuttgart Hbf
OCESN9576F2244604:2023-10-11T00:54:01Z,344.0,Munich,Paris Est
OCESN9577F2386763:2023-09-22T00:44:45Z,344.0,Paris Est,Munich
OCESN9580F1720606:2023-10-13T00:46:55Z,472.0,Francfort sur le Main,Marseille Saint-Charles
OCESN9583F2424901:2023-10-13T00:46:55Z,468.0,Marseille Saint-Charles,Francfort sur le Main
OCESN9584F2346093:2023-10-13T00:46:55Z,196.0,Freiburg (Breisgau) Hbf,Paris Gare du Nord
OCESN9704F1927197:2023-10-13T00:46:55Z,406.0,Barcelone-Sants,Paris Gare de Lyon Hall 1 - 2
OCESN9713F2277333:2023-10-03T00:24:35Z,412.0,Paris Gare de Lyon Hall 1 - 2,Barcelone-Sants
OCESN9760F1299556:2023-08-29T11:49:37Z,197.0,Geneve,Paris Gare de Lyon Hall 1 - 2
OCESN9761F2215705:2023-08-29T11:49:37Z,191.0,Paris Gare de Lyon Hall 1 - 2,Geneve
OCESN9809F1329786:2023-10-13T00:46:55Z,35.0,Lille Europe,Bruxelles Midi
OCESN9810F1987144:2023-10-09T00:43:50Z,359.0,Bruxelles Midi,Marseille Saint-Charles
OCESN9810F2264582:2023-10-09T00:43:50Z,349.0,Bruxelles Midi,Aix-en-Provence TGV
OCESN9812F1850830:2023-10-09T00:43:50Z,346.0,Bruxelles Midi,Montpellier Saint-Roch
OCESN9826F2080350:2023-10-09T00:43:50Z,333.0,Bruxelles Midi,Montpellier Sud de France
