trip_id,duration,start_station,end_station
OCESN7641F2194498:2023-06-17T00:46:06Z,133.0,paris montparnasse hall 1 - 2,niort
OCESN7641F2230238:2023-10-11T00:54:01Z,181.0,paris montparnasse hall 1 - 2,la rochelle
OCESN7642F2096675:2023-10-11T00:54:01Z,171.0,la rochelle,paris montparnasse hall 1 - 2
OCESN7642F2495779:2023-08-04T00:39:23Z,141.0,niort,paris montparnasse hall 1 - 2
OCESN7660F1842888:2023-07-06T00:36:57Z,333.0,bordeaux saint-jean,tourcoing
OCESN7669F2094099:2023-10-11T00:54:01Z,300.0,tourcoing,bordeaux saint-jean
OCESN7672F1756418:2023-10-10T00:42:10Z,269.0,toulouse matabiau,paris montparnasse hall 1 - 2
OCESN7810F2059735:2023-06-01T00:43:46Z,115.0,montpellier saint-roch,lyon perrache
OCESN7813F2387503:2023-07-01T00:41:00Z,115.0,lyon perrache,montpellier saint-roch
OCESN7815F1842605:2023-10-13T00:46:55Z,196.0,lille flandres,lyon perrache
OCESN7831F2377020:2023-10-13T00:46:55Z,204.0,aéroport charles de gaulle 2 tgv,marseille saint-charles
OCESN7831F2418177:2023-07-08T00:35:50Z,189.0,aéroport charles de gaulle 2 tgv,aix-en-provence tgv
OCESN7835F1566322:2023-06-28T00:41:30Z,282.0,lille flandres,marseille saint-charles
OCESN7836F2176707:2023-10-10T00:42:10Z,287.0,marseille saint-charles,tourcoing
OCESN7841F2346869:2023-06-28T00:41:30Z,281.0,lille flandres,aix-en-provence tgv
OCESN7860F2096777:2023-10-13T00:46:55Z,285.0,montpellier sud de france,lille flandres
OCESN7867F2175416:2023-07-12T00:33:16Z,309.0,tourcoing,montpellier sud de france
OCESN8003F2079401:2023-10-09T00:43:50Z,114.0,paris montparnasse hall 1 - 2,rennes
OCESN8020F1316632:2023-10-12T00:48:35Z,92.0,rennes,paris montparnasse hall 1 - 2
OCESN8080F1408509:2023-10-12T00:48:35Z,158.0,saint-malo,paris montparnasse hall 1 - 2
OCESN8081F1959713:2023-10-01T00:25:35Z,167.0,paris montparnasse hall 1 - 2,saint-malo
OCESN8179F1974145:2023-10-12T00:48:35Z,180.0,paris montparnasse hall 1 - 2,lorient
OCESN8300F1991247:2023-10-13T00:46:55Z,74.0,tours,paris montparnasse hall 1 - 2
OCESN8301F1303861:2023-08-29T11:49:37Z,73.0,paris montparnasse hall 1 - 2,tours
OCESN8330F1912253:2023-09-05T00:35:10Z,122.0,poitiers,paris montparnasse hall 1 - 2
OCESN8472F1646901:2023-10-09T00:43:50Z,181.0,arcachon,paris montparnasse hall 1 - 2
OCESN8473F2322822:2023-10-10T00:42:10Z,185.0,paris montparnasse hall 1 - 2,arcachon
OCESN8500F2402838:2023-10-13T00:46:55Z,203.0,agen,paris montparnasse hall 1 - 2
OCESN8530F2286616:2023-10-12T00:48:35Z,295.0,hendaye,paris montparnasse hall 1 - 2
OCESN8531F2387680:2023-10-09T00:43:50Z,284.0,paris montparnasse hall 1 - 2,hendaye
OCESN8560F2411218:2023-10-13T00:46:55Z,325.0,tarbes,paris montparnasse hall 1 - 2
OCESN8571F2688906:2023-10-11T00:54:01Z,313.0,paris montparnasse hall 1 - 2,tarbes
OCESN8680F2326159:2023-10-12T00:48:35Z,161.0,saint-brieuc,paris montparnasse hall 1 - 2
OCESN8687F2398325:2023-10-07T00:44:23Z,179.0,paris montparnasse hall 1 - 2,saint-brieuc
OCESN8692F1301337:2023-10-09T00:43:50Z,190.0,lannion,paris montparnasse hall 1 - 2
OCESN8695F1978000:2023-10-12T00:48:35Z,189.0,paris montparnasse hall 1 - 2,lannion
OCESN8707F2226840:2023-10-03T00:24:35Z,167.0,paris montparnasse hall 1 - 2,vannes
OCESN8720F2227274:2023-09-05T00:35:10Z,155.0,vannes,paris montparnasse hall 1 - 2
OCESN8790F2076838:2023-10-12T00:48:35Z,203.0,lorient,paris montparnasse hall 1 - 2
OCESN8895F1835277:2023-09-06T00:34:27Z,59.0,paris montparnasse hall 1 - 2,le mans
OCESN8900F1961642:2023-10-13T00:46:55Z,171.0,saint-nazaire,paris montparnasse hall 1 - 2
OCESN8901F1987766:2023-10-11T00:54:01Z,156.0,paris montparnasse hall 1 - 2,saint-nazaire
OCESN8912F1678768:2023-10-09T00:43:50Z,210.0,le croisic,paris montparnasse hall 1 - 2
OCESN8913F1912138:2023-10-12T00:48:35Z,204.0,paris montparnasse hall 1 - 2,le croisic
OCESN8970F1988657:2023-10-12T00:48:35Z,205.0,les sables-d'olonne,paris montparnasse hall 1 - 2
OCESN8973F1987572:2023-10-13T00:46:55Z,215.0,paris montparnasse hall 1 - 2,les sables-d'olonne
OCESN8973F2312552:2023-08-29T11:49:37Z,190.0,paris montparnasse hall 1 - 2,la roche-sur-yon
OCESN8984F2207857:2023-08-29T11:49:37Z,181.0,la roche-sur-yon,paris montparnasse hall 1 - 2
OCESN9203F2239898:2023-10-09T00:43:50Z,244.0,paris gare de lyon hall 1 - 2,zuerich hb
OCESN9206F2346712:2023-10-13T00:46:55Z,256.0,zuerich hb,paris gare de lyon hall 1 - 2
OCESN9215F2541092:2023-10-13T00:46:55Z,184.0,paris gare de lyon hall 1 - 2,basel sbb
OCESN9248F2239577:2023-10-10T00:42:10Z,188.0,chambéry - challes-les-eaux,paris gare de lyon hall 1 - 2
OCESN9249F2670602:2023-10-10T00:42:10Z,174.0,paris gare de lyon hall 1 - 2,chambéry - challes-les-eaux
OCESN9261F1817653:2023-10-13T00:46:55Z,238.0,paris gare de lyon hall 1 - 2,lausanne
OCESN9264F2148923:2023-10-13T00:46:55Z,225.0,lausanne,paris gare de lyon hall 1 - 2
OCESN9401F2388282:2023-10-13T00:46:55Z,227.0,paris est,freiburg (breisgau) hbf
OCESN9402F2119927:2023-10-13T00:46:55Z,212.0,freiburg (breisgau) hbf,paris est
OCESN9403F2606246:2023-10-13T00:46:55Z,256.0,paris gare du nord,freiburg (breisgau) hbf
OCESN9404F2361363:2023-10-09T00:43:50Z,460.0,freiburg (breisgau) hbf,bordeaux saint-jean
OCESN9406F1986987:2023-08-29T11:49:37Z,409.0,bordeaux saint-jean,freiburg (breisgau) hbf
OCESN9500F2406465:2023-10-11T00:54:01Z,211.0,stuttgart hbf,paris gare du nord
OCESN9503F2439740:2023-10-05T00:43:30Z,161.0,paris gare du nord,karlsruhe hbf
OCESN9503F2643469:2023-10-05T00:43:30Z,201.0,paris gare du nord,stuttgart hbf
OCESN9506F2606807:2023-10-11T00:54:01Z,353.0,munich,paris gare du nord
OCESN9511F2569012:2023-10-11T00:54:01Z,251.0,paris gare du nord,francfort sur le main
OCESN9514F2439737:2023-10-13T00:46:55Z,243.0,francfort sur le main,paris gare du nord
OCESN9519F2606806:2023-10-11T00:54:01Z,346.0,paris gare du nord,munich
OCESN9524F2643468:2023-10-05T00:43:30Z,186.0,karlsruhe hbf,paris gare du nord
OCESN9528F2563787:2023-10-11T00:54:01Z,229.0,francfort sur le main,paris est
OCESN9551F2177273:2023-08-29T11:49:37Z,244.0,paris est,francfort sur le main
OCESN9570F2413447:2023-10-11T00:54:01Z,168.0,karlsruhe hbf,paris est
OCESN9570F2423383:2023-10-11T00:54:01Z,194.0,stuttgart hbf,paris est
OCESN9571F2651369:2023-10-13T00:46:55Z,154.0,paris est,karlsruhe hbf
OCESN9571F2651374:2023-09-30T00:27:01Z,193.0,paris est,stuttgart hbf
OCESN9576F2244604:2023-10-11T00:54:01Z,344.0,munich,paris est
OCESN9577F2386763:2023-09-22T00:44:45Z,344.0,paris est,munich
OCESN9580F1720606:2023-10-13T00:46:55Z,472.0,francfort sur le main,marseille saint-charles
OCESN9583F2424901:2023-10-13T00:46:55Z,468.0,marseille saint-charles,francfort sur le main
OCESN9584F2346093:2023-10-13T00:46:55Z,196.0,freiburg (breisgau) hbf,paris gare du nord
OCESN9704F1927197:2023-10-13T00:46:55Z,406.0,barcelone-sants,paris gare de lyon hall 1 - 2
OCESN9713F2277333:2023-10-03T00:24:35Z,412.0,paris gare de lyon hall 1 - 2,barcelone-sants
OCESN9760F1299556:2023-08-29T11:49:37Z,197.0,geneve,paris gare de lyon hall 1 - 2
OCESN9761F2215705:2023-08-29T11:49:37Z,191.0,paris gare de lyon hall 1 - 2,geneve
OCESN9809F1329786:2023-10-13T00:46:55Z,35.0,lille europe,bruxelles midi
OCESN9810F1987144:2023-10-09T00:43:50Z,359.0,bruxelles midi,marseille saint-charles
OCESN9810F2264582:2023-10-09T00:43:50Z,349.0,bruxelles midi,aix-en-provence tgv
OCESN9812F1850830:2023-10-09T00:43:50Z,346.0,bruxelles midi,montpellier saint-roch
OCESN9826F2080350:2023-10-09T00:43:50Z,333.0,bruxelles midi,montpellier sud de france
OCESN9830F2347726:2023-10-09T00:43:50Z,223.0,bruxelles midi,lyon part dieu
OCESN9832F2211784:2023-09-12T00:35:02Z,287.0,bruxelles midi,nantes
OCESN9836F2310488:2023-10-12T00:48:35Z,448.0,bruxelles midi,perpignan
OCESN9838F2197146:2023-10-13T00:46:55Z,275.0,bruxelles midi,rennes
OCESN9844F2052158:2023-10-09T00:43:50Z,97.0,bruxelles midi,aéroport charles de gaulle 2 tgv
OCESN9844F2540751:2023-10-12T00:48:35Z,241.0,bruxelles midi,lyon perrache
OCESN9852F1640701:2023-10-13T00:46:55Z,246.0,lyon perrache,bruxelles midi
OCESN9854F2080339:2023-10-12T00:48:35Z,350.0,marseille saint-charles,bruxelles midi
OCESN9854F2361357:2023-09-14T00:34:33Z,217.0,lyon part dieu,bruxelles midi
OCESN9862F2080338:2023-10-13T00:46:55Z,373.0,montpellier sud de france,bruxelles midi
OCESN9862F2100221:2023-10-03T00:24:35Z,497.0,perpignan,bruxelles midi
OCESN9862F2240048:2023-10-09T00:43:50Z,386.0,montpellier saint-roch,bruxelles midi
OCESN9866F2406753:2023-10-09T00:43:50Z,300.0,aix-en-provence tgv,bruxelles midi
OCESN9870F1512949:2023-10-13T00:46:55Z,228.0,bruxelles midi,strasbourg
OCESN9877F2168481:2023-08-29T11:49:37Z,461.0,luxembourg,marseille saint-charles
OCESN9877F2202351:2023-10-06T00:53:43Z,415.0,metz,marseille saint-charles
OCESN9877F2368137:2023-08-29T11:49:37Z,445.0,luxembourg,aix-en-provence tgv
OCESN9877F2418353:2023-08-29T11:49:37Z,403.0,metz,aix-en-provence tgv
OCESN9879F1510146:2023-10-12T00:48:35Z,446.0,luxembourg,montpellier sud de france
OCESN9879F2261877:2023-08-29T11:49:37Z,397.0,metz,montpellier sud de france
OCESN9884F2002470:2023-10-13T00:46:55Z,278.0,rennes,bruxelles midi
OCESN9886F1812222:2023-10-13T00:46:55Z,300.0,nantes,bruxelles midi
OCESN9890F1993704:2023-10-13T00:46:55Z,222.0,strasbourg,bruxelles midi
OCESN9896F2175115:2023-08-29T11:49:37Z,473.0,marseille saint-charles,luxembourg
OCESN9896F2240179:2023-10-09T00:43:50Z,426.0,marseille saint-charles,metz
OCESN9896F2411725:2023-10-09T00:43:50Z,461.0,aix-en-provence tgv,luxembourg
